,player,team,pos,season,gp,mp,index,ftr,orb_pct,ast_vs_tov,usg_pct,pct_close_shots,pct_mid_range,pct_of_twos_assisted,pct_of_threes_corner,pct_of_threes_assisted,3par,cluster
101,Kiah Stokes,NYL,C,2018,30,427,101,0.195,11.5,0.219,11.1,0.753,0.247,0.714,0.0,0.0,0.0,2
102,Shekinna Stricklen,CON,F,2018,34,639,102,0.078,1.6,0.376,13.8,0.078,0.16699999999999998,0.526,0.148,0.948,0.754,3
103,Carolyn Swords,LVA,C,2018,26,375,103,0.203,13.4,0.474,12.3,0.545,0.45499999999999996,0.568,0.0,0.0,0.0,2
104,Brittney Sykes,ATL,G,2018,29,600,104,0.415,3.3,1.883,22.5,0.35100000000000003,0.30000000000000004,0.373,0.183,1.0,0.347,4
105,Stephanie Talbot,PHO,F,2018,31,453,105,0.25,7.0,0.609,12.2,0.33299999999999996,0.14300000000000002,0.545,0.295,1.0,0.524,2
106,Diana Taurasi,PHO,G,2018,33,989,106,0.411,0.5,2.394,28.8,0.188,0.20099999999999998,0.385,0.04,0.557,0.611,5
107,Asia Taylor,IND,F,2018,14,116,107,0.31,8.4,0.328,17.2,0.517,0.31,0.25,0.4,1.0,0.172,1
108,Alyssa Thomas,CON,F,2018,24,734,108,0.45,7.3,1.212,17.7,0.872,0.123,0.622,0.0,0.0,0.005,1
109,Jasmine Thomas,CON,G,2018,34,956,109,0.206,3.1,1.562,23.6,0.353,0.279,0.149,0.115,0.652,0.368,5
110,Krystal Thomas,WAS,C,2018,24,237,110,0.262,11.0,0.087,12.8,0.786,0.21399999999999997,0.5,0.0,0.0,0.0,2
111,Kayla Thornton,DAL,F,2018,34,971,111,0.196,5.3,0.839,13.9,0.373,0.153,0.62,0.256,0.907,0.475,3
112,Kristi Toliver,WAS,G,2018,33,1087,112,0.282,0.5,1.369,19.4,0.165,0.253,0.221,0.07,0.639,0.581,4
113,Morgan Tuck,CON,F,2018,34,462,113,0.136,5.7,0.492,19.0,0.486,0.143,0.655,0.016,1.0,0.373,1
114,Yvonne Turner,PHO,G,2018,32,426,114,0.176,2.1,1.233,16.7,0.272,0.16,0.5,0.183,0.826,0.568,3
115,Maria Vadeeva,LAS,C,2018,25,204,115,0.162,10.5,0.733,21.3,0.567,0.27,0.743,0.083,1.0,0.162,0
116,Courtney Vandersloot,CHI,G,2018,30,955,116,0.248,1.9,1.722,19.3,0.396,0.198,0.451,0.062,0.667,0.406,4
117,Kia Vaughn,NYL,C,2018,29,532,117,0.204,7.3,0.387,15.2,0.643,0.358,0.795,0.0,0.0,0.0,2
118,Victoria Vivians,IND,G,2018,34,920,118,0.112,2.0,0.694,15.1,0.112,0.261,0.6,0.123,0.954,0.627,3
119,Shatori Walker-Kimbrough,WAS,G,2018,19,168,119,0.214,2.1,0.391,20.8,0.268,0.32199999999999995,0.353,0.261,1.0,0.411,4
120,Lindsay Whalen,MIN,G,2018,32,617,120,0.235,1.9,1.424,17.5,0.33999999999999997,0.425,0.4,0.095,1.0,0.235,3
121,Erica Wheeler,IND,G,2018,34,737,121,0.209,2.9,2.459,22.0,0.337,0.393,0.115,0.184,0.762,0.27,4
122,Sami Whitcomb,SEA,G,2018,31,265,122,0.07,2.3,0.607,17.7,0.117,0.081,0.0,0.203,0.84,0.802,3
123,Courtney Williams,CON,G,2018,30,812,123,0.067,6.4,1.431,23.4,0.248,0.611,0.404,0.113,0.85,0.141,1
124,Elizabeth Williams,ATL,C-F,2018,33,885,124,0.466,8.8,0.639,15.1,0.819,0.181,0.76,0.0,0.0,0.0,2
125,Gabby Williams,CHI,F,2018,34,781,125,0.195,6.6,0.876,16.8,0.585,0.3,0.716,0.038,1.0,0.11,1
