,player,team,pos,season,gp,mp,index,ftr,orb_pct,ast_vs_tov,usg_pct,pct_close_shots,pct_mid_range,pct_of_twos_assisted,pct_of_threes_corner,pct_of_threes_assisted,3par,cluster
78,Kaleena Mosqueda-Lewis,SEA,F,2018,33,442,78,0.081,2.2,0.715,18.1,0.11499999999999999,0.338,0.778,0.358,0.941,0.547,4
79,Jaime Nared,LVA,G-F,2018,31,283,79,0.35,3.9,0.455,16.6,0.176,0.438,0.588,0.032,1.0,0.388,3
80,Astou Ndour,CHI,C-F,2018,22,255,80,0.333,11.0,0.4,17.6,0.449,0.269,0.8,0.227,1.0,0.282,0
81,Kia Nurse,NYL,G,2018,34,774,81,0.301,3.5,1.245,18.7,0.344,0.16399999999999998,0.606,0.214,1.0,0.492,4
82,Chiney Ogwumike,CON,F-C,2018,31,790,82,0.404,12.2,0.504,21.6,0.8560000000000001,0.137,0.674,0.0,1.0,0.007,0
83,Nneka Ogwumike,LAS,F,2018,27,831,83,0.27,7.0,1.16,22.9,0.677,0.242,0.688,0.038,1.0,0.081,1
84,Courtney Paris,SEA,C,2018,34,360,84,0.283,13.0,0.5,10.2,0.933,0.05,0.781,0.0,0.0,0.017,2
85,Candace Parker,LAS,F-C,2018,31,949,85,0.348,6.4,1.769,28.9,0.488,0.22899999999999998,0.427,0.042,0.683,0.283,6
86,Cheyenne Parker,CHI,F,2018,34,670,86,0.448,10.9,0.42,22.4,0.7430000000000001,0.179,0.705,0.0,0.833,0.079,0
87,JiSu Park,LVA,C,2018,32,417,87,0.214,7.2,0.593,13.4,0.306,0.673,0.842,0.0,0.0,0.02,2
88,Kelsey Plum,LVA,G,2018,31,790,88,0.176,2.0,1.855,15.3,0.20700000000000002,0.321,0.271,0.047,0.787,0.471,3
89,Epiphanny Prince,NYL,G,2018,16,305,89,0.197,2.6,1.351,22.2,0.246,0.402,0.367,0.163,0.778,0.352,4
90,LaToya Sanders,WAS,F-C,2018,28,686,90,0.319,11.2,0.893,16.6,0.403,0.592,0.853,0.0,0.0,0.005,2
91,Allie Quigley,CHI,G,2018,32,951,91,0.16,1.3,1.096,22.8,0.193,0.364,0.673,0.075,0.836,0.443,4
92,Noelle Quinn,SEA,G,2018,20,181,92,0.0,1.3,0.524,13.3,0.047,0.558,0.444,0.118,1.0,0.395,3
93,Angel Robinson,PHO,F-C,2018,24,238,93,0.476,12.2,0.281,13.9,0.714,0.262,0.842,0.0,0.0,0.024,2
94,Danielle Robinson,MIN,G,2018,28,521,94,0.31,1.8,1.294,19.6,0.45099999999999996,0.42600000000000005,0.439,0.053,1.0,0.123,4
95,Sugar Rodgers,NYL,G,2018,31,608,95,0.124,3.6,1.038,17.2,0.11900000000000001,0.163,0.667,0.128,0.953,0.719,3
96,Leticia Romero,DAL,G,2018,21,146,96,0.938,6.4,0.541,11.1,0.375,0.313,0.0,0.2,1.0,0.313,2
97,Tierra Ruffin-Pratt,WAS,G,2018,33,598,97,0.378,4.6,1.067,16.7,0.28700000000000003,0.402,0.425,0.078,1.0,0.311,3
98,Odyssey Sims,LAS,G,2018,34,867,98,0.295,1.9,1.177,19.5,0.556,0.239,0.416,0.127,0.933,0.205,4
99,Azura Stevens,DAL,F-C,2018,34,700,99,0.256,9.9,0.689,20.7,0.46499999999999997,0.194,0.518,0.136,1.0,0.341,0
100,Breanna Stewart,SEA,F,2018,34,1074,100,0.337,4.3,1.564,27.3,0.469,0.243,0.699,0.095,0.984,0.288,5
