"Player","Team","Position","G","MP","PER","TSpct","3PAr","FTr","OREBpct","REBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WS_40","Season"
"Essence Carson","LAS","G",34,791,12.7,0.549,0.282,0.242,2,5.4,10.2,2.4,0.8,14.3,17.4,0.7,1.3,2,0.101,2016
"Krystal Thomas","SEA","C",19,177,8.5,0.611,0,0.368,14,15.1,1.7,1.2,5.5,29,8.2,0.2,0.3,0.4,0.1,2016
"Chelsea Gray","LAS","G",33,540,13.2,0.545,0.293,0.318,2,6.8,20.4,1.6,0.6,18.3,19,0.5,0.8,1.3,0.099,2016
"Layshia Clarendon","ATL","G",34,959,14.2,0.559,0.195,0.432,5.1,8.8,21.2,1.3,0.2,19.2,17.7,1.5,0.8,2.3,0.095,2016
"Ramu Tokashiki","SEA","F",31,404,11.7,0.546,0.008,0.433,9.1,11.7,3.9,1.9,0.7,14.2,20.4,0.5,0.5,0.9,0.093,2016
"Tianna Hawkins","WAS","F",24,252,13.7,0.6,0.259,0.247,11.6,14.1,7.6,1,1.2,19.6,21.4,0.4,0.2,0.6,0.091,2016
"Jia Perkins","MIN","G",34,705,10.4,0.441,0.251,0.211,3.8,7.8,9.4,2.3,0.8,8.5,17.1,0.2,1.4,1.6,0.091,2016
"Aerial Powers","DAL","F-G",32,614,16.7,0.542,0.343,0.476,4.8,8.2,10.9,2.7,0.9,14.2,25.2,1.1,0.3,1.4,0.09,2016
"Astou Ndour","SAS","C-F",30,446,15.4,0.502,0.372,0.213,6.5,12.7,5.3,1.5,4.6,8.2,20.2,0.4,0.6,1,0.089,2016
"Renee Montgomery","MIN","G",34,656,12.2,0.514,0.384,0.292,1.2,2.9,21.7,2.6,0.2,19.3,20.7,0.3,1.1,1.4,0.087,2016
"Jessica Breland","CHI","F",34,585,15,0.531,0,0.222,8.9,15.2,6.1,1.5,5.2,15.7,17.1,0.6,0.7,1.3,0.086,2016
"Alyssa Thomas","CON","F",31,840,15.7,0.528,0,0.491,8.3,13.4,13.5,2.6,0.6,18.8,20.5,0.6,1.1,1.8,0.085,2016
"Rachel Banham","CON","G",15,164,10.9,0.547,0.755,0.061,0.7,4,13.2,2.5,0.5,13.7,15.4,0.2,0.1,0.3,0.084,2016
"Sonja Petrovic","PHO","F",31,459,11.2,0.558,0.264,0.388,6.8,9.1,7.1,2,1.2,17.5,17.1,0.5,0.4,0.9,0.082,2016
"Allie Quigley","CHI","G",34,604,16.7,0.554,0.299,0.139,0.8,2.8,15.2,1.4,0.7,11.3,23.8,1.3,0,1.2,0.082,2016
"Seimone Augustus","MIN","G-F",29,765,12.6,0.509,0.13,0.153,2.3,6.7,15.1,1,1.2,14.7,21.8,0.3,1.2,1.5,0.08,2016
"Abby Bishop","SEA","F",13,67,4.8,0.47,0.545,0.364,0,5.6,18.1,0.8,1.1,7.3,9.6,0.1,0,0.1,0.078,2016
"Bria Holmes","ATL","G",33,702,12.9,0.523,0.297,0.297,3.9,6.9,10.1,2.2,0.5,14.2,17,0.6,0.7,1.3,0.075,2016
"Mistie Bass","PHO","F",33,434,10,0.522,0,0.338,8,9,9,1.9,1.9,17.9,11.8,0.4,0.4,0.8,0.073,2016
"Morgan Tuck","CON","F",26,433,13.9,0.503,0.346,0.278,6,10.3,10.9,1.2,0.4,12.1,20.6,0.5,0.3,0.8,0.073,2016
"Reshanda Gray","ATL","F",28,269,9.7,0.54,0.014,0.493,10.2,15.1,2.6,0.8,1.1,16.8,17.2,0.2,0.3,0.5,0.072,2016
"Cappie Pondexter","CHI","G",33,905,15.3,0.505,0.124,0.245,1.7,6.1,15.5,1.7,0.3,10.2,22.7,1.4,0.2,1.6,0.072,2016
"Moriah Jefferson","SAS","G",34,1034,16.4,0.499,0.203,0.205,1.7,4.2,28.7,2.8,0.3,11.1,23.8,1,0.8,1.8,0.071,2016
"Isabelle Harrison","PHO","F",26,194,12.9,0.563,0,0.41,10.9,14.7,0.9,2.9,0.8,20,21.2,0,0.3,0.3,0.07,2016
"Jasmine Thomas","CON","G",34,1091,13.7,0.494,0.274,0.215,2.6,7.7,24.9,2,0.9,17.6,19.3,0.8,1,1.9,0.07,2016
"Kia Vaughn","WAS","C",34,672,13.3,0.524,0,0.145,7.4,13.2,5.8,1.6,2.1,13.5,16.3,0.4,0.8,1.2,0.07,2016
"Blake Dietrick","TOT","G",3,14,8.5,0.694,0.5,1,0,12.8,0,0,0,25.8,12.9,0,0,0,0.068,2016
"Tierra Ruffin-Pratt","WAS","G",32,781,12.1,0.486,0.253,0.48,5.6,11.1,18.1,2.2,0.8,17,17,0.4,0.9,1.3,0.067,2016
"Cheyenne Parker","CHI","F",25,315,12.5,0.52,0.012,0.386,13.1,15.2,2.8,1.9,1.3,16.4,16.1,0.3,0.2,0.5,0.063,2016
"Erin Phillips","DAL","G",32,466,11.2,0.595,0.536,0.286,3.5,4.6,14,0.5,0.5,16.5,14,0.9,-0.2,0.7,0.059,2016
"Ana Dabovic","LAS","G",22,236,8,0.487,0.352,0.537,3.4,4.5,17.8,2.9,0,22.2,17.1,0,0.4,0.3,0.057,2016
"Tamera Young","CHI","F",32,824,11.6,0.494,0.008,0.249,6.3,10.4,8.1,1.5,0.4,11.2,16.5,0.8,0.3,1.1,0.055,2016
"Leilani Mitchell","WAS","G",10,161,10.8,0.585,0.674,0.217,2.3,6.4,21,0.3,0,20.5,18.1,0.2,0,0.2,0.054,2016
"Jamierra Faulkner","CHI","G",34,655,15.8,0.506,0.275,0.217,1.8,4.5,35.7,2.8,0.5,21,22.2,0.6,0.3,0.9,0.053,2016
"Natasha Cloud","WAS","G",31,753,10.1,0.478,0.422,0.354,0.8,7.5,25.6,1.7,0.3,18.8,14,0.3,0.6,0.9,0.05,2016
"Sydney Colson","SAS","G",34,573,12.6,0.528,0.19,0.431,2.9,5.7,27.4,3.5,0.1,23.8,17.2,0.1,0.6,0.7,0.05,2016
"Alex Harden","PHO","G",28,210,9,0.489,0.3,0.05,5.9,6.4,9.7,2.9,1.5,18,10.8,0,0.2,0.3,0.05,2016
"Monique Currie","SAS","F",34,868,13.5,0.497,0.241,0.302,4.8,10.2,16.4,1.6,1.2,14.2,22.8,0.2,0.8,1.1,0.049,2016
"Brittany Boyd","NYL","G",33,651,11.9,0.441,0.173,0.389,3,7.2,29.6,4.1,0.4,21.1,20.8,-0.6,1.3,0.8,0.047,2016
"Jayne Appel-Marinelli","SAS","C",34,786,9.8,0.491,0.034,0.412,6.1,14,15.5,2,3.5,27.8,11.4,-0.4,1.3,0.9,0.046,2016
"Tiffany Mitchell","IND","G",34,681,10.9,0.51,0.353,0.419,2.8,5.5,11.8,2.3,0.4,16.2,22.7,0.2,0.6,0.8,0.046,2016
"Markeisha Gatling","TOT","C",27,232,8.1,0.54,0,0.291,10.7,11.8,5.7,1.1,2.6,24.4,15.8,0,0.2,0.2,0.042,2016
"Vicki Baugh","SAS","F-C",11,148,10.8,0.595,0,0.273,12.6,16.6,3.8,1.4,1.6,27.5,15.9,0,0.2,0.2,0.041,2016
