"player","team","pos","gp","mp","gs","tot_fg","tot_fga","fg_pct","tot_3p","tot_3pa","3p_pct","tot_2p","tot_2pa","2p_pct","tot_ft","tot_fta","ft_pct","tot_orb","tot_trb","tot_ast","tot_stl","tot_blk","tot_tov","tot_pf","tot_pts","season","pg_fg","pg_fga","pg_fg_pct","pg_3p","pg_3pa","pg_3p_pct","pg_2p","pg_2pa","pg_2p_pct","pg_ft","pg_fta","pg_ft_pct","pg_orb","pg_trb","pg_ast","pg_stl","pg_blk","pg_tov","pg_pf","pg_pts","per","ts_pct","efg_pct","3par","ftr","orb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ortg","drtg","ows","dws","ws","ws_40","fg_percent","avg_shot_dist","pct_shots_from_2","pct_shots_0_3","pct_shots_3-10","pct_shots_10_16","pct_shots_16_3p","pct_shots_from_3","fg_pct_from_2","fg_pct_0_3","fg_pct_3-10","fg_pct_10_16","fg_pct_16_3p","fg_pct_from_3","pct_of_twos_assisted","pct_of_threes_assisted","pct_of_threes_corner","fg_pct_corner_threes","plus_minus_on_court","plus_minus_net","bad_pass_turnovers","lost_ball_turnovers","shooting_fouls_committed","offensive_fouls_committed","shooting_fouls_drawn","offensive_fouls_drawn","points_generated_by_assists","and_1s_drawn","blocked_fgas"
"Lisa Leslie*","LAS","C",28,902,28,160,371,0.431,12,46,0.261,148,325,0.455,113,189,0.598,63,266,74,39,59,109,99,445,1997,5.7,13.3,0.431,0.4,1.6,0.261,5.3,11.6,0.455,4,6.8,0.598,2.3,9.5,2.6,1.4,2.1,3.9,3.5,15.9,21.6,0.49,0.447,0.124,0.509,9,17.8,15.9,2.2,5.1,19.4,27.7,91,85,1.4,2.2,3.5,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greta Koss","UTA","F",13,268,10,15,29,0.517,2,3,0.667,13,26,0.5,12,16,0.75,12,37,10,9,4,18,15,44,1997,1.2,2.2,0.517,0.2,0.2,0.667,1,2,0.5,0.9,1.2,0.75,0.9,2.8,0.8,0.7,0.3,1.4,1.2,3.4,9.1,0.61,0.552,0.103,0.552,5,8,7,1.8,1.2,33.3,9,91,102,0.1,-0.1,0,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merlakia Jones","CLE","G",28,589,1,92,229,0.402,5,12,0.417,87,217,0.401,40,56,0.714,30,80,25,23,3,54,55,229,1997,3.3,8.2,0.402,0.2,0.4,0.417,3.1,7.8,0.401,1.4,2,0.714,1.1,2.9,0.9,0.8,0.1,1.9,2,8.2,12.3,0.451,0.413,0.052,0.245,7,8.8,8.8,2.1,0.4,17.6,24.4,85,95,0.1,0.5,0.5,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vickie Johnson","NYL","G-F",26,789,25,109,270,0.404,4,21,0.19,105,249,0.422,27,35,0.771,46,110,66,19,4,49,52,249,1997,4.2,10.4,0.404,0.2,0.8,0.19,4,9.6,0.422,1,1.3,0.771,1.8,4.2,2.5,0.7,0.2,1.9,2,9.6,12.5,0.436,0.411,0.078,0.13,7.2,8.5,17.3,1.3,0.4,14.7,19.1,92,93,0.9,0.9,1.7,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrienne Johnson","CLE","G",25,194,0,22,58,0.379,2,4,0.5,20,54,0.37,7,9,0.778,8,22,9,5,1,27,13,53,1997,0.9,2.3,0.379,0.1,0.2,0.5,0.8,2.2,0.37,0.3,0.4,0.778,0.3,0.9,0.4,0.2,0,1.1,0.5,2.1,4.7,0.428,0.397,0.069,0.155,5.6,7.3,8.8,1.4,0.4,30.4,21.4,68,97,-0.6,0.1,-0.5,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milica Vukadinovic","CHA","G",1,14,0,1,1,1,1,1,1,0,0,NA,0,0,NA,0,1,1,1,0,3,0,3,1997,1,1,1,1,1,1,0,0,NA,0,0,NA,0,1,1,1,0,3,0,3,8.5,1.5,1.5,1,0,0,4.4,12.5,3.9,0,75,13.6,52,91,-0.1,0,0,-0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haixia Zheng","LAS","C",28,557,21,110,178,0.618,0,0,NA,110,178,0.618,39,59,0.661,32,123,17,11,20,46,77,259,1997,3.9,6.4,0.618,0,0,NA,3.9,6.4,0.618,1.4,2.1,0.661,1.1,4.4,0.6,0.4,0.7,1.6,2.8,9.3,20.2,0.635,0.618,0,0.331,7.4,13.4,6.2,1,2.8,18.4,19.9,107,92,2,0.8,2.7,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corissa Yasen","SAC","G",19,188,0,23,57,0.404,0,1,0,23,56,0.411,6,12,0.5,12,20,6,18,2,16,17,52,1997,1.2,3,0.404,0,0.1,0,1.2,2.9,0.411,0.3,0.6,0.5,0.6,1.1,0.3,0.9,0.1,0.8,0.9,2.7,11.1,0.417,0.404,0.018,0.211,7.8,6.7,6.4,5.1,0.8,20.4,18.6,79,98,-0.2,0.1,-0.1,-0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiffany Woosley","HOU","G",26,397,4,29,88,0.33,16,50,0.32,13,38,0.342,2,8,0.25,8,28,29,18,1,30,19,76,1997,1.1,3.4,0.33,0.6,1.9,0.32,0.5,1.5,0.342,0.1,0.3,0.25,0.3,1.1,1.1,0.7,0,1.2,0.7,2.9,7.3,0.415,0.42,0.568,0.091,2.6,4.7,13.4,2.5,0.2,24.7,14.3,80,95,-0.2,0.3,0.1,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lynette Woodard*","CLE","G",28,712,27,87,217,0.401,0,7,0,87,210,0.414,43,64,0.672,37,115,67,45,10,69,44,217,1997,3.1,7.8,0.401,0,0.3,0,3.1,7.5,0.414,1.5,2.3,0.672,1.3,4.1,2.4,1.6,0.4,2.5,1.6,7.8,14.4,0.443,0.401,0.032,0.295,7.1,10.4,18.2,3.4,1.2,22,20.6,85,90,0,1.1,1.1,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
